"Source","Target","Edge ID","Date","Interaction Type","Location","Citation","Notes"
"2","1","1","10/24/2016","Letter","Unknown","Gmail","invitation"
"2","5","1","10/24/2016","Letter","Unknown","Gmail","invitation"
"5","2","2","10/05/2016","Meeting","Olin","none","group project meeting"
"5","1","2","10/05/2016","Meeting","Olin","none","group project meeting"
"5","3","2","10/05/2016","Meeting","Olin","none","group project meeting"
"5","4","2","10/05/2016","Meeting","Olin","none","group project meeting"
"2","1","2","10/05/2016","Meeting","Olin","none","group project meeting"
"2","3","2","10/05/2016","Meeting","Olin","none","group project meeting"
"2","4","2","10/05/2016","Meeting","Olin","none","group project meeting"
"1","3","2","10/05/2016","Meeting","Olin","none","group project meeting"
"1","4","2","10/05/2016","Meeting","Olin","none","group project meeting"
"3","4","2","10/05/2016","Meeting","Olin","none","group project meeting"
"5","1","3","10/21/2016","Meeting","Unknown","All","Feedback"
"5","3","3","10/21/2016","Meeting","Unknown","All","Feedback"
"5","4","3","10/21/2016","Meeting","Unknown","All","Feedback"
"2","1","4","10/21/2016","Email","Unknown","test","Testing for functionality of new code."
"2","3","4","10/21/2016","Email","Unknown","test","Testing for functionality of new code."
"2","4","4","10/21/2016","Email","Unknown","test","Testing for functionality of new code."
"2","1","5","10/24/2016","Letter","Unknown","Gmail","invitation"
"2","5","5","10/24/2016","Letter","Unknown","Gmail","invitation"
"5","2","6","10/05/2016","Meeting","Olin","none","group project meeting"
"5","1","6","10/05/2016","Meeting","Olin","none","group project meeting"
"5","3","6","10/05/2016","Meeting","Olin","none","group project meeting"
"5","4","6","10/05/2016","Meeting","Olin","none","group project meeting"
"2","1","6","10/05/2016","Meeting","Olin","none","group project meeting"
"2","3","6","10/05/2016","Meeting","Olin","none","group project meeting"
"2","4","6","10/05/2016","Meeting","Olin","none","group project meeting"
"1","3","6","10/05/2016","Meeting","Olin","none","group project meeting"
"1","4","6","10/05/2016","Meeting","Olin","none","group project meeting"
"3","4","6","10/05/2016","Meeting","Olin","none","group project meeting"
"5","1","7","10/21/2016","Meeting","Unknown","All","Feedback"
"5","3","7","10/21/2016","Meeting","Unknown","All","Feedback"
"5","4","7","10/21/2016","Meeting","Unknown","All","Feedback"
"2","1","8","10/21/2016","Email","Unknown","test","Testing for functionality of new code."
"2","3","8","10/21/2016","Email","Unknown","test","Testing for functionality of new code."
"2","4","8","10/21/2016","Email","Unknown","test","Testing for functionality of new code."
